[1024, 768]        30
[1280, 847]         4
[1280, 853]        33
[1280, 960]        50
[1360, 1024]    29252
[1440, 1080]        1
[1500, 2000]        5
[1616, 1080]        4
[1800, 2400]        4
[1920, 1440]        7
[1944, 2592]        8
[2000, 1333]       34
[2000, 1500]        3
[2000, 3008]       34
[2048, 1365]       14
[2048, 1536]       80
[2112, 2816]       69
[2144, 1424]        4
[2250, 4000]        1
[2272, 1704]       31
[2273, 2978]        1
[2288, 1712]      762
[2304, 3072]       54
[2400, 1800]        7
[2432, 1824]        4
[2432, 3648]        6
[2448, 3264]        5
[2560, 1920]       32
[2592, 1944]     1041
[2592, 3872]       11
[2592, 3888]        2
[2736, 1824]        5
[2736, 2736]       13
[2736, 3648]      277
[2752, 2200]      457
[2816, 1880]        6
[2816, 2112]       57
[2848, 2136]       13
[2848, 4288]      187
[2904, 4352]        1
[2976, 3968]        9
[3000, 2250]       41
[3000, 4000]      264
[3008, 2000]       79
[3048, 2240]        1
[3072, 2304]       74
[3072, 4608]        9
[3072, 5472]        3
[3112, 2208]        1
[3147, 2226]        1
[3192, 2263]        1
[3192, 2296]        1
[3200, 2400]       49
[3208, 2480]        1
[3240, 4320]        3
[3256, 2157]        1
[3264, 2448]      430
[3264, 4928]        6
[3311, 2308]        1
[3312, 4416]      282
[3328, 1872]        8
[3379, 2592]        1
[3416, 2592]        1
[3438, 2592]        1
[3456, 2592]       20
[3456, 4608]       34
[3456, 5184]        1
[3476, 2592]        1
[3483, 2585]       12
[3483, 2592]        1
[3491, 2592]        9
[3521, 2585]        1
[3528, 2577]        1
[3528, 2592]        2
[3648, 2432]        8
[3648, 2736]     1063
[3648, 4864]      194
[3648, 5472]       65
[3840, 2160]       74
[3872, 2592]      107
[3888, 2592]        6
[3947, 2614]        1
[3968, 2976]      662
[4000, 2250]       22
[4000, 2672]       52
[4000, 3000]     2320
[4000, 6000]       10
[4112, 3008]     1716
[4159, 2755]        1
[4262, 2823]        1
[4272, 2848]     3208
[4288, 2848]      307
[4288, 3216]       46
[4320, 3240]      152
[4352, 2904]       40
[4416, 3312]     1268
[4528, 3348]        1
[4606, 3454]        3
[4608, 2592]        2
[4608, 3072]       24
[4608, 3456]     2062
[480, 640]          7
[4864, 3648]      467
[4912, 7360]       61
[4928, 3264]      119
[5184, 3456]       41
[5472, 3072]       24
[5472, 3648]      972
[5686, 3795]        1
[5888, 3930]        1
[6000, 4000]      203
[6054, 4040]        2
[6127, 4089]        1
[6348, 4237]        1
[640, 480]         29
[6422, 4286]        1
[6495, 4335]        1
[7360, 4912]      223
[827, 551]         13
[853, 640]          2
[912, 684]         12
[960, 1280]         8
