,f1_valid,acc_valid,f1_test,f1_test_avg,acc_test,acc_test_avg
1,0.8642080426216125,0.8913657665252686,"[0.8677685856819153, 0.8028932809829712, 0.733564019203186]",0.8014086286226908,"[0.8499062061309814, 0.8965844511985779, 0.8600000143051147]",0.8688302238782247
2,0.8645392060279846,0.8893436789512634,"[0.8508474826812744, 0.7231833934783936, 0.7430555820465088]",0.7723621527353922,"[0.8348968029022217, 0.8545454740524292, 0.8595825433731079]",0.8496749401092529
3,0.8647732138633728,0.8911952376365662,"[0.7236180901527405, 0.852320671081543, 0.776340126991272]",0.7840929627418518,"[0.8500000238418579, 0.8358349204063416, 0.885199248790741]",0.8570113976796468
4,0.8539727330207825,0.8845685124397278,"[0.8765330910682678, 0.7224959135055542, 0.7710843086242676]",0.7900377710660299,"[0.8583489656448364, 0.8463636636734009, 0.873814046382904]",0.8595088919003805
5,0.8642250299453735,0.8901693224906921,"[0.7495682239532471, 0.8624595403671265, 0.7140549421310425]",0.775360902150472,"[0.8624288439750671, 0.8405253291130066, 0.839090883731842]",0.8473483522733053
