,f1_valid,acc_valid,f1_test,f1_test_avg,acc_test,acc_test_avg
1,0.9259389042854309,0.9268099665641785,"[0.868208110332489, 0.8751793503761292, 0.7617765665054321]",0.8350546757380167,"[0.8214565515518188, 0.9206928014755249, 0.8515100479125977]",0.8645531336466471
2,0.9297269582748413,0.9294777512550354,"[0.7323601245880127, 0.8698061108589172, 0.8871766924858093]",0.8297809759775797,"[0.8154362440109253, 0.9143117666244507, 0.8394675254821777]",0.8564051787058512
3,0.9286827445030212,0.9287611842155457,"[0.887159526348114, 0.72962486743927, 0.869918704032898]",0.8289010326067606,"[0.8410336971282959, 0.8246644139289856, 0.912488579750061]",0.8593955636024475
4,0.9308902621269226,0.9309850335121155,"[0.8905109763145447, 0.8697986602783203, 0.7524999976158142]",0.8376032114028931,"[0.8472983837127686, 0.911577045917511, 0.8338926434516907]",0.8642560243606567
5,0.9274243116378784,0.9256847500801086,"[0.8680272102355957, 0.7415459156036377, 0.8822894096374512]",0.8306208451588949,"[0.911577045917511, 0.8204697966575623, 0.8292874097824097]",0.853778084119161
