,f1_valid,acc_valid,f1_test,f1_test_avg,acc_test,acc_test_avg
1,0.7799530029296875,0.8752220273017883,"[0.743682324886322, 0.7193229794502258, 0.7763713002204895]",0.7464588681856791,"[0.9404362440109253, 0.8628532290458679, 0.9293333292007446]",0.9108742674191793
2,0.807692289352417,0.8801065683364868,"[0.7505154609680176, 0.7280453443527222, 0.7266187071800232]",0.7350598375002543,"[0.9193333387374878, 0.8676774501800537, 0.936241626739502]",0.9077508052190145
3,0.8010835647583008,0.8858792185783386,"[0.7023319602012634, 0.7022900581359863, 0.7941176295280457]",0.7329132159550985,"[0.850447952747345, 0.9345637559890747, 0.9346666932106018]",0.9065594673156738
4,0.8178519606590271,0.8885435461997986,"[0.7200000286102295, 0.772357702255249, 0.74349445104599]",0.7452840606371561,"[0.8600965142250061, 0.9253333210945129, 0.9421141147613525]",0.9091813166936239
5,0.7993579506874084,0.8889875411987305,"[0.5653923749923706, 0.5578800439834595, 0.5102505683898926]",0.5445076624552408,"[0.7022743225097656, 0.7886666655540466, 0.8196308612823486]",0.7701906164487203
