,f1_valid,acc_valid,f1_test,f1_test_avg,acc_test,acc_test_avg
1,0.9200772047042847,0.9388552308082581,"[0.7720465660095215, 0.932584285736084, 0.9538461565971375, 0.8884381055831909, 0.8947368264198303, 0.895591676235199, 0.9380362033843994, 0.9793510437011719]",0.9068288579583168,"[0.9055823683738708, 0.9760096073150635, 0.9652138948440552, 0.9498632550239563, 0.9655442237854004, 0.9818181991577148, 0.9739999771118164, 0.991599977016449]",0.9637039378285408
2,0.916387677192688,0.938547670841217,"[0.8916155695915222, 0.9518263339996338, 0.9086757898330688, 0.9225589036941528, 0.7666666507720947, 0.9573459625244141, 0.8872901797294617, 0.975271999835968]",0.9076564237475395,"[0.951686441898346, 0.9636145830154419, 0.9838383793830872, 0.972411036491394, 0.9035148024559021, 0.9819999933242798, 0.9631949663162231, 0.9900000095367432]",0.9637825265526772
3,0.9189189076423645,0.9400240182876587,"[0.9527482986450195, 0.9840954542160034, 0.8683602809906006, 0.7483870983123779, 0.8764940500259399, 0.9495896697044373, 0.8662131428718567, 0.9535999894142151]",0.8999359980225563,"[0.980400025844574, 0.9936000108718872, 0.9553641080856323, 0.8924879431724548, 0.9434822201728821, 0.9828068614006042, 0.9761615991592407, 0.9652138948440552]",0.9611895829439163
4,0.9163991212844849,0.9383323788642883,"[0.8741092681884766, 0.8952381014823914, 0.9549376964569092, 0.9773844480514526, 0.8985507488250732, 0.7891156673431396, 0.9131905436515808, 0.955686092376709]",0.9072765707969666,"[0.9584964513778687, 0.9822221994400024, 0.9811999797821045, 0.9908000230789185, 0.9553326964378357, 0.9145417213439941, 0.9692122936248779, 0.9668132662773132]",0.9648273289203644
5,0.913074254989624,0.9320250749588013,"[0.9476801753044128, 0.7749577164649963, 0.978723406791687, 0.9090909361839294, 0.9637249708175659, 0.8936170339584351, 0.8873239159584045, 0.938095211982727]",0.9116516709327698,"[0.9787999987602234, 0.9083390831947327, 0.991599977016449, 0.971025824546814, 0.9732106924057007, 0.9544211626052856, 0.9806060791015625, 0.9792082905769348]",0.9671513885259628
